Datasource Name,Datasource ID,Table Schema,Table Name,Database Name,Database Connection Type
VW_MASTER_DRUG_WITH_LOOKUPS (RAW_LAYER_TEST.VW_MASTER_DRUG_WITH_LOOKUPS)+ (MASTER),0d19f341-b17e-9f89-9aa9-b4d1bbc85ba9,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER,snowflake
VW_MASTER_DRUG_WITH_LOOKUPS (RAW_LAYER_TEST.VW_MASTER_DRUG_WITH_LOOKUPS)+ (MASTER),0d19f341-b17e-9f89-9aa9-b4d1bbc85ba9,VISUALIZATION,VW_MMA_LOOKUP,TRANSFORMED_LAYER,snowflake
VW_MASTER_DRUG_WITH_LOOKUPS (RAW_LAYER_TEST.VW_MASTER_DRUG_WITH_LOOKUPS)+ (MASTER),0d19f341-b17e-9f89-9aa9-b4d1bbc85ba9,VISUALIZATION,VW_MEMBER_OPPORTUNITIES_WITH_BEST_SAVER_IDENTIFIED,TRANSFORMED_LAYER,snowflake
QBR - PMPM Spend Data Set,0d75ca88-c17f-3823-ab78-269e9aaa6de4,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - PMPM Spend Data Set,0d75ca88-c17f-3823-ab78-269e9aaa6de4,VISUALIZATION,VW_PMPM_SPEND,TRANSFORMED_LAYER,snowflake
QBR - Monthly Customer Communications,0d925db1-4ca2-23fb-ce55-2350dacbe486,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Monthly Customer Communications,0d925db1-4ca2-23fb-ce55-2350dacbe486,VISUALIZATION,VW_MONTHLY_CUSTOMER_COMMUNICATIONS,TRANSFORMED_LAYER,snowflake
Amazon QBR - Member Utilization Breakdown Dataset,0e635323-2894-c572-137c-4c3650beb693,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
Amazon QBR - Member Utilization Breakdown Dataset,0e635323-2894-c572-137c-4c3650beb693,AMAZON,VW_MEMBER_UTILIZATION_BREAKDOWN_WITH_CUSTOM_FIELDS,TRANSFORMED_LAYER,snowflake
SAVINGS_BY_MMA_WIDE (TRANSFORMED_LAYER.SAVINGS_BY_MMA_WIDE) (VISUALIZATION),0f906563-520d-35e4-dda1-dbcfbfa7fc9a,VISUALIZATION,SAVINGS_BY_MMA_WIDE,TRANSFORMED_LAYER,snowflake
QBR - Pharmacy Spend Data - Test,10d94134-25a9-eb4b-dec4-cdec8527e65a,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Pharmacy Spend Data - Test,10d94134-25a9-eb4b-dec4-cdec8527e65a,VISUALIZATION,VW_PHARMACY_SPEND_AND_SAVE,TRANSFORMED_LAYER_TEST,snowflake
QBR - Customer Lives Datasource,10e3f7e9-e0aa-16fd-17f0-136632ba389a,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource,10e3f7e9-e0aa-16fd-17f0-136632ba389a,VISUALIZATION,VW_CUSTOMER_TOTAL_LIVES,TRANSFORMED_LAYER,snowflake
QBR - Amazon - Member Savings Dataset - Test,1293956d-7dbf-0edf-6830-bacf7afda1e7,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Amazon - Member Savings Dataset - Test,1293956d-7dbf-0edf-6830-bacf7afda1e7,AMAZON,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA_AND_CUSTOM_FILTERS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Utilization Breakdown - Test,12ee78e8-c570-ac33-584d-f3307cd8db37,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Utilization Breakdown - Test,12ee78e8-c570-ac33-584d-f3307cd8db37,VISUALIZATION,VW_UTILIZATION_BREAKDOWN_QBR,TRANSFORMED_LAYER_TEST,snowflake
QBR - Monthly Customer Communications,132d67c7-9e08-03fe-13f6-2a56da363104,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Monthly Customer Communications,132d67c7-9e08-03fe-13f6-2a56da363104,VISUALIZATION,VW_MONTHLY_CUSTOMER_COMMUNICATIONS,TRANSFORMED_LAYER,snowflake
Amazon QBR - Pharmacy Spend Dataset,16d57e06-94e8-0aba-ef81-9b459a775db5,AMAZON,VW_PHARMACY_SPEND_AND_SAVE,TRANSFORMED_LAYER,snowflake
Amazon QBR - Pharmacy Spend Dataset,16d57e06-94e8-0aba-ef81-9b459a775db5,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Amazon - Monthly Customer Communications (1) (local copy),170bdfb2-f4e0-ca59-3416-71979d5eb0f3,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Amazon - Monthly Customer Communications (1) (local copy),170bdfb2-f4e0-ca59-3416-71979d5eb0f3,AMAZON,VW_MONTHLY_CUSTOMER_COMMUNICATIONS,TRANSFORMED_LAYER_TEST,snowflake
QBR - CLAIMS AND SPEND DATA SET,187280ff-68f6-8183-c6ee-52107fb27aec,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - CLAIMS AND SPEND DATA SET,187280ff-68f6-8183-c6ee-52107fb27aec,VISUALIZATION,VW_CLAIMS_AND_SPENDS,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource | Project : QBR Datasources,188cce46-bde8-a738-3cb5-4f28246d0380,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource | Project : QBR Datasources,188cce46-bde8-a738-3cb5-4f28246d0380,VISUALIZATION,VW_CUSTOMER_TOTAL_LIVES,TRANSFORMED_LAYER,snowflake
QBR - Login and Registration Data - Test,19ccf548-6d42-8ff3-334f-1bea3cb79c82,VISUALIZATION,VW_MONTHLY_LOGIN_AND_REGISTRATION_DATA,TRANSFORMED_LAYER_TEST,snowflake
QBR - Login and Registration Data - Test,19ccf548-6d42-8ff3-334f-1bea3cb79c82,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER_TEST,snowflake
Amazon QBR - Member Utilization Breakdown Dataset with Location,1a454658-f959-d23f-6e5c-df670490e892,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
Amazon QBR - Member Utilization Breakdown Dataset with Location,1a454658-f959-d23f-6e5c-df670490e892,AMAZON,VW_MEMBER_UTILIZATION_BREAKDOWN_WITH_CUSTOM_FIELDS,TRANSFORMED_LAYER,snowflake
Amazon QBR - Claims and Spend Dataset,1acf3de4-2add-b74c-959a-c7ceb3d52712,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
Amazon QBR - Claims and Spend Dataset,1acf3de4-2add-b74c-959a-c7ceb3d52712,AMAZON,VW_CLAIMS_AND_SPENDS,TRANSFORMED_LAYER,snowflake
VW_MEMBER_ENGAGEMENT_ACTIVITY (TRANSFORMED_LAYER.ENGAGEMENT.VW_MEMBER_ENGAGEMENT_ACTIVITY),1b7c2785-ba5b-f1f7-a164-38ef7adb9a66,ENGAGEMENT,VW_MEMBER_ENGAGEMENT_ACTIVITY,TRANSFORMED_LAYER,snowflake
Expected-Values-Of-Drug-A-To-Drug-B-Switches,1ba09b15-a867-cf68-320f-de9cf8c4706a,VISUALIZATION,CLINICAL_OPPORTUNITIES_BY_DRUG_NAME,TRANSFORMED_LAYER,snowflake
Expected-Values-Of-Drug-A-To-Drug-B-Switches,1ba09b15-a867-cf68-320f-de9cf8c4706a,VISUALIZATION,CLINICAL_ROUGH_ADOPTION_RATIOS_BY_CUSTOMER_AND_GLOBAL,TRANSFORMED_LAYER,snowflake
